accepted,candidate_sha256,class_identity_passed,class_identity_prediction,class_identity_probability,class_name,diversity_minimum,diversity_passed,expansion_id,failure_reasons,hard_gates_passed,nearest_train_distance,round_id,slot,verifier_feasible
True,9524c08007bacea77ec49698213e3fc5054bca07c09c333f9243a0e8b828446c,True,normal_machining,0.9475,normal_machining,3.693709878562434,True,0,,True,5.961847167148233,3,0,True
False,19cab91c416e16ea59ee2c73b7b46ad0317804d2a74b7f88ae6b7c06d0c21713,True,normal_machining,0.9625,normal_machining,3.693709878562434,True,1,slot_already_retained,True,6.078220786667589,3,0,True
False,3a36cb5409339245a730511d1ef593b0e291bac3f4315aca6f136cda2595833e,True,normal_machining,0.955,normal_machining,3.693709878562434,True,2,slot_already_retained,True,7.475050567687881,3,0,True
False,46af9dbf8600605318ff3619310099c7c605e77c4f08a0cc2dce952cb3478417,True,lead_screw_anomaly,0.865,lead_screw_anomaly,2.4236589111645213,True,0,psd_w1,False,8.49880110989703,2,0,False
False,4b709e7b541f48e7b8a063fbf064a8caa4d71e1180800ed353e6565dc5792784,True,lead_screw_anomaly,0.89,lead_screw_anomaly,2.4236589111645213,True,1,psd_w1,False,7.688269005444866,2,0,False
True,5ff5668f065870f39624d0769e353b39f7997e8dd5a66ab29ec347f5f0c0ff9d,True,lead_screw_anomaly,0.8675,lead_screw_anomaly,2.4236589111645213,True,2,,True,9.485502329218903,2,0,True
True,ea2bd1b6e945a7f57223874bcaf011fd2a051dd5a88b45c4534fcc7d5d1afa85,True,base_imbalance,0.98,base_imbalance,3.49985822652848,True,0,,True,4.939050898484795,0,0,True
False,dde1e8124554e3583b9de811a5a7677452d39aa266c259f6d4c2e36049452b1e,True,base_imbalance,0.94,base_imbalance,3.49985822652848,True,1,slot_already_retained,True,5.778211327905337,0,0,True
False,752004a627ce3d0e509d3ae97484b52584f24833cd7061dda0f4cbc581777c08,True,base_imbalance,0.98,base_imbalance,3.49985822652848,True,2,slot_already_retained,True,3.96520091100269,0,0,True
False,e7370e0fd6b1a18fbade6337dc11e85148a3f9544a03533b5c549e935aa209d9,False,normal_machining,0.4525,lead_screw_anomaly,2.4236589111645213,True,0,class_identity,True,4.168823950107065,3,1,True
False,4723b74a1f38dd80ebd593a48976bd602f99c742366e1131a89be48e9f7b3e52,False,normal_machining,0.4725,lead_screw_anomaly,2.4236589111645213,True,1,class_identity,True,4.587734870754145,3,1,True
False,cb0d3cae34971fe51208a90b448b68d0286e701922b8020fd2d41e79c75e73ca,False,normal_machining,0.475,lead_screw_anomaly,2.4236589111645213,True,2,class_identity,True,4.1219042868348055,3,1,True
True,47d71a01c2ca794eb71ab5ac076fd7d9fe1f17c3704b18df7ff9ca48996cbf15,True,base_imbalance,0.935,base_imbalance,3.49985822652848,True,0,,True,6.174369147171897,1,1,True
False,039800c2024d3b21593ab7ec1ae12aabaf6b366f380bd2d12f0d1176f7161b47,True,base_imbalance,0.9125,base_imbalance,3.49985822652848,True,1,slot_already_retained,True,7.587186941245011,1,1,True
False,8a3152f9c71b17b2e08aa1aba0578c648f42a975cf88991fb3224d0527382792,True,base_imbalance,0.9375,base_imbalance,3.49985822652848,True,2,slot_already_retained,True,5.690303508228827,1,1,True
False,6b2995c3ca360151d09bb06ed2e5ce2157b4b3eb365ab8caa98516830535defb,False,normal_machining,0.4975,lead_screw_anomaly,2.4236589111645213,True,0,class_identity,True,5.195070516305088,1,2,True
True,fb6c68d77a90a0721a25e8374d6c26e148242688497c7a82b90febae367c558e,True,lead_screw_anomaly,0.53,lead_screw_anomaly,2.4236589111645213,True,1,,True,4.749723879408694,1,2,True
False,d6797ed1d6846797b470f4fba0406f0680bd62ae48b1e8faedcdf672701ae8f0,False,normal_machining,0.4925,lead_screw_anomaly,2.4236589111645213,True,2,class_identity,True,5.360503545563178,1,2,True
True,19dd19c3b6c4acf1f1c704a0c2dbe7f7bde47047e2d11a725ce56c20c7b77fd3,True,base_imbalance,0.95,base_imbalance,3.49985822652848,True,0,,True,5.012588208149671,1,2,True
False,2ed942f670257d300bd2cfa6d7c54c719ca754ab822f3cc818cc21c671b58b9c,True,base_imbalance,0.9275,base_imbalance,3.49985822652848,True,1,slot_already_retained,True,4.111665377269222,1,2,True
False,5a37d3ffb1b16b03561370dabd87283488a2a15f7c9858b7d97585f1494dd8aa,True,base_imbalance,0.96,base_imbalance,3.49985822652848,False,2,diversity,True,3.4778160153033943,1,2,True
True,bc07cf80cfba04778b48e7ee9cd8542b5bd03dfd72d556586ae066571a02de50,True,normal_machining,0.8725,normal_machining,3.693709878562434,True,0,,True,8.180773695119948,2,3,True
