path,category,bytes,file_count,action,rebuild_evidence
breeze/.venv-breeze,PYTHON_ENVIRONMENT,875494305,33208,PRESERVE_UNTIL_LOCKED_REBUILD,"requirements.txt exists, but an exact clean-environment replay is still required."
.pytest_cache,PYTEST_CACHE,18903,6,REBUILDABLE_PENDING_AUTHORIZATION,Convention-defined cache rebuilt by pytest; contains no source of record.
breeze/.pytest_cache,PYTEST_CACHE,2354,5,REBUILDABLE_PENDING_AUTHORIZATION,Convention-defined cache rebuilt by pytest; contains no source of record.
breeze/scripts/__pycache__,PYTHON_BYTECODE_CACHE,1773887,70,REBUILDABLE_PENDING_AUTHORIZATION,Convention-defined cache rebuilt by Python import/compile; contains no source of record.
breeze/src/__pycache__,PYTHON_BYTECODE_CACHE,489211,35,REBUILDABLE_PENDING_AUTHORIZATION,Convention-defined cache rebuilt by Python import/compile; contains no source of record.
breeze/src/verifier/__pycache__,PYTHON_BYTECODE_CACHE,114606,6,REBUILDABLE_PENDING_AUTHORIZATION,Convention-defined cache rebuilt by Python import/compile; contains no source of record.
breeze/tests/__pycache__,PYTHON_BYTECODE_CACHE,322566,23,REBUILDABLE_PENDING_AUTHORIZATION,Convention-defined cache rebuilt by Python import/compile; contains no source of record.
breeze/paper/figs/revision_preview/qa/cas_reading_size/cas_figure_qa.log,LATEX_TRANSIENT_CACHE,38405,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
breeze/paper/main.aux,LATEX_TRANSIENT_CACHE,5228,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
breeze/paper/main.fdb_latexmk,LATEX_TRANSIENT_CACHE,11294,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
breeze/paper/main.fls,LATEX_TRANSIENT_CACHE,13466,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
breeze/paper/main.log,LATEX_TRANSIENT_CACHE,28513,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
breeze/paper/main.out,LATEX_TRANSIENT_CACHE,1925,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
breeze/paper/main_cas.aux,LATEX_TRANSIENT_CACHE,29638,1,REBUILDABLE_PENDING_AUTHORIZATION,Rebuild with the frozen latexmk publication command.
